Name,Start Time,End Time,Duration,Venue,Voter: Callum,Voter: Steven,Total Votes
Drop Dead Gorgeous: A New Musical (Work-in-Progress Concert Series),23:00,00:00,1:00,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",,X,1
Eddy Hare: This One's On Me,17:30,18:30,1:00,"Cellar, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,,1
Ellie MacPherson: Babe Lincoln,16:35,17:35,1:00,"Attic, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Fast Fringe,18:30,19:30,1:00,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",X,X,2
Flat and the Curves: Rosé-Tinted,20:20,21:20,1:00,"Friesian, Underbelly, Bristo Square, Teviot Place, EH8 9AG",X,,1
Flo & Joan: The Joan & Flo Show,14:55,15:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",X,X,2
Foil Arms and Hog: Skittish,21:15,22:15,1:00,"McEwan Hall, Underbelly, Bristo Square, Teviot Place, EH8 9AG",X,,1
Geoff Norcott: Basic Bloke,13:25,14:25,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",X,,1
Geoff Norcott: Basic Bloke,18:40,19:40,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",,X,1
Glenn Moore: Work in Progress,11:05,12:05,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",X,X,2
Good Girl,22:20,23:20,1:00,"The Annexe, Paradise in The Vault, 11 Merchant Street, EH1 2QD",X,X,2
Gwyneth Goes Skiing,15:30,16:50,1:20,"Forth, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Harriet Kemsley: Everything Always Works Out For Me,18:10,19:10,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",X,X,2
Hello Like Before – A Bill Withers Tribute!,17:30,18:30,1:00,"Partially Seated, The Jazz Bar, 1A Chambers Street, EH1 1HR",,X,1
Hold on to Your Butts,14:00,15:00,1:00,"Forth, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,,1
Holly Stars: Justice For Holly,18:30,19:30,1:00,"Underground, Assembly George Square Studios, George Square, EH8 9LH",,X,1
ITVX Presents: Edinburgh Fringe,22:30,00:00,1:30,"Grand Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",X,X,2
Identity Theft: What to Expect When You're Not Suspecting,13:45,14:45,1:00,"Arch Room, PBH's Free Fringe @ Whistlebinkies, 4-6 South Bridge, EH1 1LL",X,X,2
Ignacio Lopez: Señor Self-Destruct,18:00,19:00,1:00,"Hoot 1, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",X,,1
