"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Fri 16/08,"Milton Jones: Ha!Milton",60,"8 mins",22.00,19:00,20:00,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Fri 16/08,"Jason Byrne: NO SHOW",60,"0 mins",23.00,20:40,21:40,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Fri 16/08,"Late Night With Terry Wogan",,"15 mins",16.00,23:00,00:00,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",
Sat 17/08,"419 Dirty Words",60," ",12.00,13:40,14:40,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",
Sat 17/08,"Adventures of the Improvised Sherlock Holmes",20,"14 mins",11.00,16:30,17:30,1:00,"Just the Big Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",
Sat 17/08,"Thinking Drinkers: The Booze-ical",80,"6 mins",10.00,18:10,19:10,1:00,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sat 17/08,"Viv Ford: New Kids On The Blockchain",60,"6 mins",7.00,20:00,21:00,1:00,"Just the Attic, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",
Sat 17/08,"Six Chick Flicks...",,"6 mins",13.00,21:30,22:30,1:00,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sun 18/08,"5 Mistakes That Changed History",," ",15.50,16:40,17:40,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Sun 18/08,"Ashley Gavin: My Therapist is Dying",60,"11 mins",16.00,18:50,19:50,1:00,"Upstairs, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 18/08,"Ivo Graham: Grand Designs",30,"0 mins",17.50,21:20,22:20,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Mon 19/08,"The Umbilical Brothers: The Distraction",50," ",16.00,18:35,19:35,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Mon 19/08,"Pirates: You Wouldn't Steal a Boat",60,"2 mins",10.00,21:30,22:20,0:50,"Fleming Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Tue 20/08,"Sue Perkins: A Piece of Work in Progress",100," ",16.50,15:30,16:30,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Tue 20/08,"Ray O'Leary: Your Laughter Is Just Making Me Stronger",65,"11 mins",7.00,17:20,18:20,1:00,"Studio Four, Assembly George Square Studios, George Square, EH8 9LH",
Tue 20/08,"One Man Musical by Flo & Joan",50,"4 mins",15.00,19:00,20:00,1:00,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Tue 20/08,"Aidan Greene: Stop! Stammer Time!",30,"1 mins",10.50,20:45,21:45,1:00,"Dexter, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Wed 21/08,"A Girl Gets Naked In This",," ",7.00,16:55,17:45,0:50,"Bedlam Theatre, Bedlam Theatre, 11b Bristo Place, EH1 1EZ",
Wed 21/08,"Geoff Norcott: Basic Bloke",50,"2 mins",14.50,18:40,19:40,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Wed 21/08,"100% C*ntinental",30,"15 mins",2.50,20:30,21:30,1:00,"Basement, Laughing Horse @ Home Bar, 69 Home St, EH3 9JP",
Wed 21/08,"Jack Tucker: Comedy Standup Hour",75,"24 mins",15.00,23:00,00:20,1:20,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 22/08,"Showstopper! The Improvised Musical",50," ",22.50,17:30,18:40,1:10,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 22/08,"Colin Cloud: Consequences",50,"9 mins",16.50,19:20,20:30,1:10,"McEwan Hall, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Thu 22/08,"ITVX Presents: Edinburgh Fringe",40,"4 mins",10.00,22:30,00:00,1:30,"Grand Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Fri 23/08,"Isobel Rogers: How to Be Content",25," ",12.00,17:50,18:50,1:00,"Below, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Fri 23/08,"Troy Hawke – The Greeters Guild!",100,"16 mins",24.50,19:30,21:20,1:50,"Auditorium, Edinburgh Playhouse, 18-22 Greenside Pl, EH1 3AA",
Fri 23/08,"Naughty Cabaret",,"18 mins",13.00,22:50,00:00,1:10,"Belly Laugh, Underbelly, Cowgate, 66 Cowgate, EH1 1JX",
Sat 24/08,"Bad Clowns: HOSTAGE",50," ",14.00,19:00,20:00,1:00,"Nip, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Sat 24/08,"Garry Starr: Classic Penguins",1,"5 mins",13.00,20:30,21:30,1:00,"Forth, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 25/08,"A-Z: The Geek's Guide to Seduction",40," ",10.00,19:45,20:40,0:55,"Hoot 2, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",
Mon 26/08,"1 Irish, 1 English: Evenings",20," ",6.00,20:15,21:15,1:00,"Hoot 6, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",
