"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Sat 10/08,"Arturo Brachetti: SOLO",25," ",30.00,14:30,15:40,1:10,"Lennox, Pleasance at EICC, 150 Morrison Street, EH3 8EE",
Sat 10/08,"44 Sex Acts In One Week",50,"17 mins",16.00,16:40,17:50,1:10,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Sat 10/08,"Antics Joke Show: Sketch and Improv Comedy",,"7 mins",11.00,18:35,19:25,0:50,"Space 1, theSpace on the Mile, 80 High Street, EH1 1TH",
Sat 10/08,"Jimeoin: Who's Your Man?!",,"11 mins",19.50,20:25,21:25,1:00,"Just the Tonic's Atomic Room, Just the Tonic Nucleus, 138-140 Pleasance, EH8 9RR",
Sat 10/08,"Drop Dead Gorgeous: A New Musical (Work-in-Progress Concert Series)",25,"7 mins",16.00,23:00,00:00,1:00,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Sun 11/08,"MC Hammersmith: The MC Stands for Middle Class",," ",12.00,13:55,14:55,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Sun 11/08,"Paul Merton and Suki Webster's Improv Show",,"7 mins",20.00,15:30,16:30,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 11/08,"Stand-Up Science",,"7 mins",0.00,17:15,18:15,1:00,"Main Room, Laughing Horse @ The Pear Tree, 36 W Nicholson St, EH8 9DD",
Sun 11/08,"Max Fosh: Loophole (Work in Progress)",,"4 mins",12.50,18:40,19:40,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sun 11/08,"John Robertson: The Human Hurricane",,"4 mins",0.00,20:20,21:10,0:50,"The Ballroom, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",
Sun 11/08,"The Late Nite PowerPoint Comedy Showcase",,"4 mins",13.00,22:05,23:05,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",
Sun 11/08,"Best of the Fest",,"15 mins",12.50,23:55,01:10,1:15,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Mon 12/08,"The AI Ate My Homework!",," ",12.00,12:20,13:20,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",
Mon 12/08,"Flo & Joan: The Joan & Flo Show",,"20 mins",17.50,14:55,15:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Mon 12/08,"The Magic of Terry Pratchett",50,"0 mins",15.00,17:10,18:10,1:00,"Studio Two, Assembly George Square Studios, George Square, EH8 9LH",
Mon 12/08,"Milton Jones: Ha!Milton",75,"15 mins",19.50,19:00,20:00,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Mon 12/08,"Tim Murray Is Witches",,"11 mins",12.00,21:20,22:20,1:00,"The Dairy Room, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Mon 12/08,"Best of Edinburgh Fringe Comedy",,"5 mins",2.50,23:55,00:55,1:00,"Maggie's Chamber, Laughing Horse @ The Three Sisters, 139 Cowgate, EH1 1JS",
Tue 13/08,"Best of the Fest: Daytime",," ",14.50,14:00,15:00,1:00,"Ballroom, Assembly Rooms, 54 George Street, EH2 2LR",
Tue 13/08,"Anu Vaidyanathan: BC:AD – Before Children, After Diapers",,"16 mins",12.00,15:40,16:40,1:00,"The Penny, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Tue 13/08,"Selena Mersey: Madonna/Whore",25,"4 mins",10.00,18:40,19:40,1:00,"Iron Belly, Underbelly, Cowgate, 66 Cowgate, EH1 1JX",
Tue 13/08,"Neil Delamere: Neil by Mouth",75,"9 mins",14.00,21:40,22:40,1:00,"Cabaret Bar, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Wed 14/08,"100% The Greatest Comedian Alive or Dead (No Refunds)",," ",0.00,15:05,16:00,0:55,"carte blanche!, PBH's Free Fringe @ Voodoo Rooms, West Register Street, EH2 2AA",
Wed 14/08,"Wankernomics: As Per My Last Email",,"15 mins",14.50,18:00,19:00,1:00,"Pleasance One, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Wed 14/08,"Paul Foot: Dissolve",50,"9 mins",15.00,19:50,20:55,1:05,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Wed 14/08,"Good Girl",,"5 mins",13.00,22:20,23:20,1:00,"The Annexe, Paradise in The Vault, 11 Merchant Street, EH1 2QD",
Thu 15/08,"AI:rish",," ",5.00,15:45,16:35,0:50,"The Wee Tap, Laughing Horse @ The Hanover Tap, 112 Hanover Street, EH2 1DR",
Thu 15/08,"Dara Ó Briain: My Entire Life is a Work In Progress (Work in Progress)",,"3 mins",19.00,18:50,19:50,1:00,"Music Hall, Assembly Rooms, 54 George Street, EH2 2LR",
Thu 15/08,"Jason Byrne: NO SHOW",,"7 mins",20.50,20:40,21:40,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Thu 15/08,"Best of the Fest: The New Class",,"14 mins",12.00,22:25,23:25,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Fri 16/08,"Cyclopath – Stand-Up and Songs",," ",0.00,14:45,15:40,0:55,"The Lounge, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",
Fri 16/08,"Alexis Gay: Unprofessional",,"6 mins",11.00,16:20,17:20,1:00,"The Wee Coo, Underbelly, George Square, George Square, EH8 9LH",
Fri 16/08,"Jonny & the Baptists: The Happiness Index",,"2 mins",14.00,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Fri 16/08,"Viv Ford: New Kids On The Blockchain",,"7 mins",7.00,20:00,21:00,1:00,"Just the Attic, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",
Fri 16/08,"Isabella Charlton: So My Dad F****d The Nanny",,"1 mins",13.00,21:40,22:40,1:00,"Blether, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Sat 17/08,"419 Dirty Words",," ",12.00,13:40,14:40,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",
Sat 17/08,"Adventures of the Improvised Sherlock Holmes",,"14 mins",11.00,16:30,17:30,1:00,"Just the Big Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",
Sat 17/08,"Circa: Humans 2.0",,"14 mins",21.00,18:20,19:20,1:00,"The Lafayette, Underbelly’s Circus Hub on the Meadows, Middle Meadow Walk, EH9 9EX",
Sat 17/08,"The Big Show: Monkey Barrel Comedy's Fringe Showcase!",,"15 mins",12.00,20:30,21:50,1:20,"Hive 1, Monkey Barrel Comedy (The Hive), 15-17 Niddry St, EH1 1LG",
Sat 17/08,"The Big Show: Monkey Barrel Comedy's Fringe Showcase!",,"1 mins",12.00,23:20,00:40,1:20,"Monkey Barrel 3, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Sun 18/08,"Anesti Danelis: Artificially Intelligent",," ",12.00,14:15,15:15,1:00,"Buttercup, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sun 18/08,"Anna Akana: It Gets Darker",,"9 mins",13.00,17:30,18:30,1:00,"Upstairs, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 18/08,"Jo Caulfield Pearls Before Swine",,"19 mins",12.00,19:10,20:10,1:00,"Stand 3, The Stand Comedy Club 3 & 4, 28 York Place, EH1 3EP",
Sun 18/08,"Best of Burlesque: 10 Years of Tease",,"11 mins",19.50,22:05,23:05,1:00,"Bijou, Assembly Rooms, 54 George Street, EH2 2LR",
Mon 19/08,"Spy Movie: The Play!",," ",12.00,12:00,12:50,0:50,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Mon 19/08,"Kafka's Metamorphosis: The Musical! With Puppets!",,"7 mins",13.00,13:30,14:30,1:00,"Ace Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
